,ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Facing,Availability_Status
33551,33552,Karnataka,Bangalore,South,Independent House,1,2955,198.88,0.07,2015,Furnished,14,5,10,3,5,South,Under_Construction
33576,33577,Karnataka,Bangalore,South-East,Apartment,3,4160,346.1,0.08,2017,Unfurnished,18,24,8,2,7,South,Under_Construction
33618,33619,Karnataka,Bangalore,West,Apartment,5,4600,183.97,0.04,1994,Semi-furnished,29,23,31,5,9,South,Under_Construction
33634,33635,Karnataka,Bangalore,South,Villa,5,4494,155.76,0.03,2009,Unfurnished,26,22,16,3,5,East,Ready_to_Move
33679,33680,Karnataka,Bangalore,Central,Villa,2,3292,460.77,0.14,1996,Furnished,1,18,29,7,4,East,Under_Construction
33706,33707,Karnataka,Bangalore,East,Villa,5,3553,106.68,0.03,2009,Unfurnished,7,29,16,6,3,West,Under_Construction
33748,33749,Karnataka,Bangalore,West,Independent House,4,1367,307.19,0.22,1992,Semi-furnished,4,10,33,9,7,South,Under_Construction
33795,33796,Karnataka,Bangalore,South,Apartment,5,563,56.69,0.1,1999,Unfurnished,23,12,26,1,8,South,Ready_to_Move
33832,33833,Karnataka,Bangalore,North,Independent House,4,1293,35.8,0.03,2021,Semi-furnished,28,3,4,1,7,North,Under_Construction
33909,33910,Karnataka,Bangalore,North-East,Apartment,2,1966,83.63,0.04,1998,Furnished,6,5,27,6,2,East,Ready_to_Move
34050,34051,Karnataka,Bangalore,West,Independent House,5,2496,14.76,0.01,2012,Unfurnished,13,13,13,7,6,East,Under_Construction
34086,34087,Karnataka,Bangalore,North-East,Apartment,4,831,462.22,0.56,1990,Furnished,15,28,35,1,8,North,Ready_to_Move
34138,34139,Karnataka,Bangalore,West,Villa,2,582,46.53,0.08,2015,Semi-furnished,29,18,10,3,7,West,Ready_to_Move
34195,34196,Karnataka,Bangalore,East,Villa,2,896,460.61,0.51,2009,Unfurnished,7,19,16,7,10,West,Ready_to_Move
34201,34202,Karnataka,Bangalore,East,Independent House,5,4257,43.7,0.01,1992,Semi-furnished,8,3,33,10,10,South,Ready_to_Move
34226,34227,Karnataka,Bangalore,West,Apartment,4,1860,59.98,0.03,1996,Semi-furnished,17,10,29,8,6,West,Ready_to_Move
34244,34245,Karnataka,Bangalore,North-East,Apartment,4,1373,196.88,0.14,2018,Semi-furnished,14,6,7,3,7,East,Under_Construction
34362,34363,Karnataka,Bangalore,South-East,Apartment,4,1240,59.42,0.05,2011,Semi-furnished,10,3,14,5,7,East,Under_Construction
34369,34370,Karnataka,Bangalore,West,Independent House,5,2437,239.57,0.1,1993,Unfurnished,22,19,32,6,4,West,Ready_to_Move
34516,34517,Karnataka,Bangalore,North-East,Independent House,2,4060,304.24,0.07,2010,Furnished,23,2,15,7,7,North,Ready_to_Move
34528,34529,Karnataka,Bangalore,South-East,Villa,5,2871,329.64,0.11,1995,Furnished,7,20,30,3,4,West,Ready_to_Move
34645,34646,Karnataka,Bangalore,East,Apartment,5,2309,261.32,0.11,2016,Furnished,13,29,9,2,10,West,Under_Construction
34672,34673,Karnataka,Bangalore,West,Apartment,2,4522,457.32,0.1,2010,Semi-furnished,8,1,15,8,7,East,Ready_to_Move
34753,34754,Karnataka,Bangalore,North,Apartment,1,3450,76.86,0.02,2002,Furnished,21,13,23,1,10,North,Under_Construction
34785,34786,Karnataka,Bangalore,West,Villa,2,2028,59.13,0.03,2001,Furnished,16,12,24,2,6,East,Under_Construction
34879,34880,Karnataka,Bangalore,East,Villa,2,3931,27.41,0.01,2005,Semi-furnished,28,10,20,3,9,West,Ready_to_Move
34950,34951,Karnataka,Bangalore,North-East,Apartment,3,3391,323.68,0.1,2020,Furnished,17,24,5,4,4,South,Under_Construction
34961,34962,Karnataka,Bangalore,East,Apartment,1,1547,284.75,0.18,2000,Semi-furnished,11,20,25,8,2,West,Under_Construction
35064,35065,Karnataka,Bangalore,East,Apartment,5,1752,247.57,0.14,2013,Furnished,16,20,12,4,2,North,Under_Construction
35073,35074,Karnataka,Bangalore,South-West,Apartment,3,1855,459.54,0.25,2017,Furnished,21,23,8,2,8,West,Under_Construction
35149,35150,Karnataka,Bangalore,West,Villa,5,4928,226.55,0.05,2004,Unfurnished,4,11,21,4,8,West,Ready_to_Move
35195,35196,Karnataka,Bangalore,Central,Apartment,4,3868,69.33,0.02,2004,Unfurnished,5,10,21,2,4,West,Under_Construction
35210,35211,Karnataka,Bangalore,East,Apartment,2,3184,110.22,0.03,2007,Unfurnished,18,9,18,2,6,South,Ready_to_Move
35283,35284,Karnataka,Bangalore,South-West,Villa,2,3869,401.83,0.1,2016,Unfurnished,25,7,9,5,3,East,Ready_to_Move
35310,35311,Karnataka,Bangalore,East,Villa,1,4902,157.62,0.03,1996,Unfurnished,25,16,29,10,2,West,Ready_to_Move
35313,35314,Karnataka,Bangalore,South-East,Villa,1,1620,271.26,0.17,2011,Unfurnished,21,28,14,10,4,North,Under_Construction
35315,35316,Karnataka,Bangalore,South,Apartment,5,3771,428.04,0.11,2010,Furnished,17,25,15,10,7,South,Ready_to_Move
35469,35470,Karnataka,Bangalore,East,Villa,4,1067,103.43,0.1,2000,Unfurnished,19,1,25,1,3,West,Ready_to_Move
35603,35604,Karnataka,Bangalore,North,Villa,5,2214,446.84,0.2,1992,Unfurnished,13,30,33,4,8,West,Ready_to_Move
35616,35617,Karnataka,Bangalore,South-East,Apartment,2,3098,496.58,0.16,2011,Furnished,23,8,14,6,7,East,Ready_to_Move
35701,35702,Karnataka,Bangalore,West,Independent House,2,1106,87.9,0.08,2007,Unfurnished,17,9,18,1,1,North,Ready_to_Move
35770,35771,Karnataka,Bangalore,Central,Villa,4,3993,27.3,0.01,1995,Semi-furnished,8,1,30,5,7,North,Ready_to_Move
35780,35781,Karnataka,Bangalore,South-West,Villa,3,764,333.73,0.44,2001,Unfurnished,3,5,24,1,7,East,Ready_to_Move
35894,35895,Karnataka,Bangalore,South-East,Independent House,4,2022,249.08,0.12,2001,Unfurnished,1,9,24,3,7,South,Under_Construction
35898,35899,Karnataka,Bangalore,South-West,Independent House,2,1816,157.68,0.09,2003,Semi-furnished,17,28,22,2,1,South,Under_Construction
35984,35985,Karnataka,Bangalore,West,Independent House,1,1552,492.98,0.32,2016,Furnished,30,11,9,3,6,West,Under_Construction
35997,35998,Karnataka,Bangalore,North,Apartment,4,3182,328.97,0.1,2014,Furnished,3,28,11,7,10,East,Under_Construction
36111,36112,Karnataka,Bangalore,South-West,Apartment,1,4630,251.79,0.05,2020,Semi-furnished,7,21,5,10,4,East,Under_Construction
36194,36195,Karnataka,Bangalore,North,Independent House,1,3320,463.74,0.14,2009,Semi-furnished,0,30,16,1,6,West,Under_Construction
36294,36295,Karnataka,Bangalore,North,Independent House,4,2502,385.79,0.15,2001,Unfurnished,10,17,24,3,3,North,Ready_to_Move
36560,36561,Karnataka,Bangalore,North,Villa,2,4823,262.81,0.05,2009,Semi-furnished,17,3,16,8,10,North,Ready_to_Move
36577,36578,Karnataka,Bangalore,Central,Villa,5,4084,325.1,0.08,2012,Unfurnished,6,20,13,7,9,South,Under_Construction
36643,36644,Karnataka,Bangalore,East,Independent House,4,2922,440.34,0.15,1991,Unfurnished,14,2,34,3,6,North,Under_Construction
36686,36687,Karnataka,Bangalore,Central,Villa,3,4155,184.98,0.04,2001,Unfurnished,28,21,24,6,1,West,Ready_to_Move
36707,36708,Karnataka,Bangalore,South,Villa,2,3720,498.65,0.13,1999,Furnished,3,28,26,7,7,East,Ready_to_Move
36741,36742,Karnataka,Bangalore,West,Apartment,2,2234,145.46,0.07,2022,Furnished,25,10,3,4,6,East,Ready_to_Move
36824,36825,Karnataka,Bangalore,East,Independent House,1,1247,173.11,0.14,2011,Unfurnished,29,5,14,10,7,North,Ready_to_Move
36939,36940,Karnataka,Bangalore,East,Independent House,5,1100,311.2,0.28,1998,Unfurnished,8,20,27,5,8,South,Ready_to_Move
37009,37010,Karnataka,Bangalore,South-West,Independent House,2,3180,207.46,0.07,2015,Furnished,29,16,10,7,10,South,Ready_to_Move
37041,37042,Karnataka,Bangalore,West,Villa,5,2740,235.22,0.09,2001,Unfurnished,13,30,24,9,8,East,Under_Construction
37069,37070,Karnataka,Bangalore,West,Villa,4,1251,109.63,0.09,1993,Semi-furnished,22,6,32,3,10,West,Ready_to_Move
37098,37099,Karnataka,Bangalore,South-East,Villa,5,1391,271.33,0.2,1990,Furnished,18,13,35,6,6,West,Under_Construction
37205,37206,Karnataka,Bangalore,North,Villa,2,3649,130.36,0.04,2016,Unfurnished,28,29,9,3,7,South,Ready_to_Move
37216,37217,Karnataka,Bangalore,South-East,Independent House,2,4606,128.36,0.03,1998,Unfurnished,6,29,27,5,2,West,Ready_to_Move
37258,37259,Karnataka,Bangalore,North-East,Independent House,5,2417,439.02,0.18,2012,Unfurnished,29,14,13,5,8,North,Under_Construction
37317,37318,Karnataka,Bangalore,East,Independent House,4,3032,447.94,0.15,2020,Furnished,12,29,5,2,9,South,Ready_to_Move
37344,37345,Karnataka,Bangalore,West,Apartment,2,4262,334.56,0.08,1996,Semi-furnished,17,12,29,8,9,East,Under_Construction
37346,37347,Karnataka,Bangalore,South-East,Apartment,2,2236,164.15,0.07,2017,Furnished,13,13,8,8,8,East,Ready_to_Move
37409,37410,Karnataka,Bangalore,South-East,Independent House,4,3145,457.92,0.15,1990,Semi-furnished,30,8,35,9,3,South,Ready_to_Move
37423,37424,Karnataka,Bangalore,North-East,Villa,5,4849,24.13,0.0,2012,Unfurnished,9,3,13,6,3,North,Ready_to_Move
37430,37431,Karnataka,Bangalore,West,Apartment,1,2207,175.18,0.08,1997,Furnished,4,24,28,9,9,West,Ready_to_Move
37447,37448,Karnataka,Bangalore,South-West,Villa,2,2753,410.64,0.15,2016,Semi-furnished,28,27,9,3,6,South,Under_Construction
37462,37463,Karnataka,Bangalore,South,Apartment,3,1049,251.58,0.24,1990,Furnished,23,16,35,4,10,West,Ready_to_Move
37492,37493,Karnataka,Bangalore,South-East,Villa,4,830,377.37,0.45,2000,Unfurnished,24,10,25,8,9,South,Ready_to_Move
37534,37535,Karnataka,Bangalore,Central,Independent House,4,587,73.02,0.12,2013,Unfurnished,24,2,12,1,6,South,Ready_to_Move
37626,37627,Karnataka,Bangalore,West,Apartment,1,3647,183.42,0.05,1991,Semi-furnished,5,23,34,9,1,East,Under_Construction
37741,37742,Karnataka,Bangalore,South,Villa,1,665,288.6,0.43,2016,Unfurnished,25,22,9,10,4,North,Under_Construction
37829,37830,Karnataka,Bangalore,North,Villa,4,3457,158.46,0.05,1999,Furnished,25,27,26,3,9,East,Ready_to_Move
38079,38080,Karnataka,Bangalore,East,Apartment,5,2676,412.56,0.15,2014,Furnished,25,24,11,1,3,West,Under_Construction
38239,38240,Karnataka,Bangalore,South-East,Independent House,5,1367,377.13,0.28,1991,Furnished,24,30,34,6,1,West,Under_Construction
38285,38286,Karnataka,Bangalore,North,Villa,1,2395,38.33,0.02,1997,Semi-furnished,24,13,28,2,7,North,Under_Construction
38295,38296,Karnataka,Bangalore,South-East,Independent House,4,1075,231.99,0.22,1994,Furnished,22,20,31,3,6,South,Ready_to_Move
38382,38383,Karnataka,Bangalore,South-East,Villa,4,4632,55.88,0.01,1992,Furnished,29,3,33,8,7,South,Under_Construction
38442,38443,Karnataka,Bangalore,South-West,Apartment,5,4833,37.87,0.01,1995,Unfurnished,23,17,30,10,1,North,Under_Construction
38493,38494,Karnataka,Bangalore,East,Independent House,2,729,260.42,0.36,2022,Semi-furnished,25,13,3,5,10,East,Ready_to_Move
38519,38520,Karnataka,Bangalore,West,Villa,4,2432,74.7,0.03,2022,Semi-furnished,19,20,3,5,1,South,Ready_to_Move
38579,38580,Karnataka,Bangalore,South-East,Apartment,3,973,488.86,0.5,2009,Semi-furnished,5,27,16,5,2,East,Ready_to_Move
38660,38661,Karnataka,Bangalore,North-East,Villa,3,2096,24.62,0.01,1990,Semi-furnished,25,26,35,1,1,North,Under_Construction
38773,38774,Karnataka,Bangalore,South,Apartment,5,542,402.17,0.74,2020,Furnished,30,4,5,2,6,West,Under_Construction
38803,38804,Karnataka,Bangalore,East,Apartment,1,4872,12.1,0.0,2017,Semi-furnished,10,12,8,2,7,East,Ready_to_Move
38804,38805,Karnataka,Bangalore,Central,Independent House,5,4277,333.41,0.08,2006,Furnished,15,10,19,3,4,North,Ready_to_Move
38944,38945,Karnataka,Bangalore,South-West,Independent House,1,4800,188.96,0.04,2018,Unfurnished,3,6,7,2,4,North,Under_Construction
39000,39001,Karnataka,Bangalore,South-West,Villa,5,3387,398.36,0.12,1995,Unfurnished,9,25,30,6,9,North,Under_Construction
39001,39002,Karnataka,Bangalore,South-West,Villa,5,3868,461.26,0.12,1994,Furnished,7,18,31,5,3,South,Ready_to_Move
39048,39049,Karnataka,Bangalore,South,Independent House,3,979,403.02,0.41,2009,Unfurnished,18,1,16,10,6,East,Ready_to_Move
39057,39058,Karnataka,Bangalore,Central,Villa,4,4810,407.57,0.08,1997,Unfurnished,8,12,28,1,8,West,Under_Construction
39063,39064,Karnataka,Bangalore,East,Villa,4,3182,492.13,0.15,2011,Semi-furnished,16,9,14,4,6,East,Under_Construction
39167,39168,Karnataka,Bangalore,South-West,Villa,3,2803,402.63,0.14,2020,Unfurnished,11,16,5,2,1,North,Ready_to_Move
39243,39244,Karnataka,Bangalore,North-East,Villa,3,1671,10.91,0.01,1998,Semi-furnished,28,12,27,10,6,East,Under_Construction
39265,39266,Karnataka,Bangalore,South-East,Apartment,4,2885,151.43,0.05,2010,Unfurnished,14,8,15,5,2,West,Under_Construction
39316,39317,Karnataka,Bangalore,North-East,Independent House,4,3162,345.54,0.11,2009,Semi-furnished,0,11,16,3,3,East,Ready_to_Move
39440,39441,Karnataka,Bangalore,South-East,Villa,2,1885,344.45,0.18,2004,Semi-furnished,26,18,21,2,6,North,Under_Construction
39624,39625,Karnataka,Bangalore,East,Villa,4,3546,103.84,0.03,2023,Furnished,26,8,2,10,1,North,Under_Construction
39859,39860,Karnataka,Bangalore,South-West,Villa,1,4772,144.55,0.03,1993,Furnished,25,21,32,1,9,South,Ready_to_Move
39904,39905,Karnataka,Bangalore,East,Villa,2,3764,268.4,0.07,1990,Furnished,9,8,35,2,2,South,Ready_to_Move
39967,39968,Karnataka,Bangalore,Central,Villa,2,2396,63.27,0.03,2007,Furnished,5,2,18,8,10,South,Under_Construction
40044,40045,Karnataka,Bangalore,West,Villa,5,4129,240.52,0.06,1999,Furnished,21,19,26,4,8,East,Ready_to_Move
40197,40198,Karnataka,Bangalore,North,Apartment,1,930,478.13,0.51,2013,Furnished,9,15,12,2,4,North,Under_Construction
40198,40199,Karnataka,Bangalore,East,Independent House,1,1340,87.53,0.07,2019,Unfurnished,5,30,6,2,10,North,Ready_to_Move
40356,40357,Karnataka,Bangalore,South,Independent House,1,2410,201.3,0.08,2006,Furnished,21,14,19,8,9,North,Under_Construction
40379,40380,Karnataka,Bangalore,South,Villa,4,2657,53.45,0.02,1998,Furnished,20,26,27,6,10,North,Ready_to_Move
40487,40488,Karnataka,Bangalore,North-East,Villa,3,2895,298.58,0.1,1994,Furnished,7,13,31,6,7,East,Under_Construction
40577,40578,Karnataka,Bangalore,South,Apartment,2,4679,192.14,0.04,2010,Furnished,5,15,15,5,2,South,Under_Construction
40578,40579,Karnataka,Bangalore,West,Independent House,2,2437,307.95,0.13,2009,Unfurnished,29,20,16,5,1,East,Under_Construction
40653,40654,Karnataka,Bangalore,Central,Apartment,4,3451,147.37,0.04,2000,Furnished,12,24,25,1,2,West,Ready_to_Move
40683,40684,Karnataka,Bangalore,Central,Apartment,2,866,327.42,0.38,2002,Semi-furnished,22,24,23,4,6,West,Under_Construction
40684,40685,Karnataka,Bangalore,South,Villa,3,2994,309.61,0.1,2000,Unfurnished,8,19,25,4,9,West,Ready_to_Move
40725,40726,Karnataka,Bangalore,West,Independent House,2,1571,494.29,0.31,2012,Furnished,27,13,13,5,1,North,Ready_to_Move
40728,40729,Karnataka,Bangalore,North,Apartment,2,2337,254.44,0.11,2015,Unfurnished,12,5,10,5,5,South,Under_Construction
40748,40749,Karnataka,Bangalore,Central,Villa,3,4181,185.8,0.04,2011,Unfurnished,12,21,14,10,2,West,Under_Construction
40815,40816,Karnataka,Bangalore,South-East,Independent House,5,3598,34.64,0.01,1999,Semi-furnished,5,29,26,4,2,North,Ready_to_Move
40930,40931,Karnataka,Bangalore,Central,Villa,5,4268,457.67,0.11,2003,Furnished,25,12,22,6,6,East,Under_Construction
40943,40944,Karnataka,Bangalore,West,Apartment,5,2049,147.64,0.07,1998,Furnished,8,22,27,5,5,North,Under_Construction
41001,41002,Karnataka,Bangalore,East,Apartment,3,2186,250.12,0.11,1996,Unfurnished,22,12,29,5,2,East,Ready_to_Move
41043,41044,Karnataka,Bangalore,North-East,Apartment,3,1570,451.78,0.29,2012,Unfurnished,11,9,13,2,9,North,Under_Construction
41083,41084,Karnataka,Bangalore,Central,Independent House,1,4069,258.42,0.06,1997,Furnished,3,16,28,4,2,East,Ready_to_Move
41221,41222,Karnataka,Bangalore,South-East,Villa,4,3431,404.64,0.12,2004,Unfurnished,16,7,21,3,3,West,Ready_to_Move
41381,41382,Karnataka,Bangalore,North,Apartment,2,2728,211.39,0.08,2000,Unfurnished,22,6,25,5,10,South,Ready_to_Move
41483,41484,Karnataka,Bangalore,South-East,Independent House,1,1475,193.29,0.13,2001,Semi-furnished,30,6,24,7,2,West,Ready_to_Move
41523,41524,Karnataka,Bangalore,South-East,Villa,3,4493,266.51,0.06,2013,Furnished,8,5,12,4,4,West,Under_Construction
41559,41560,Karnataka,Bangalore,North-East,Villa,2,4235,25.64,0.01,2023,Furnished,11,4,2,9,1,North,Under_Construction
41574,41575,Karnataka,Bangalore,South,Villa,3,1163,460.7,0.4,1990,Furnished,4,10,35,8,4,West,Ready_to_Move
41677,41678,Karnataka,Bangalore,South,Apartment,4,1051,99.29,0.09,1997,Semi-furnished,18,20,28,9,2,North,Under_Construction
41720,41721,Karnataka,Bangalore,South-West,Independent House,4,2376,424.27,0.18,2016,Furnished,26,19,9,4,1,North,Under_Construction
41725,41726,Karnataka,Bangalore,West,Villa,3,3334,389.44,0.12,1993,Furnished,28,22,32,2,5,West,Ready_to_Move
41773,41774,Karnataka,Bangalore,East,Apartment,5,2427,465.59,0.19,1994,Semi-furnished,2,23,31,7,6,South,Ready_to_Move
41778,41779,Karnataka,Bangalore,South,Villa,4,3997,127.88,0.03,2014,Semi-furnished,9,29,11,3,3,North,Ready_to_Move
41887,41888,Karnataka,Bangalore,North-East,Apartment,4,2620,76.41,0.03,2004,Semi-furnished,13,20,21,7,7,West,Ready_to_Move
41910,41911,Karnataka,Bangalore,West,Apartment,1,824,53.2,0.06,2023,Unfurnished,8,12,2,4,9,West,Ready_to_Move
41989,41990,Karnataka,Bangalore,Central,Apartment,3,2517,116.2,0.05,2002,Furnished,18,22,23,10,9,East,Ready_to_Move
42009,42010,Karnataka,Bangalore,West,Villa,4,3688,448.37,0.12,2009,Semi-furnished,4,12,16,6,9,South,Ready_to_Move
42040,42041,Karnataka,Bangalore,North-East,Villa,4,901,249.39,0.28,2015,Furnished,2,1,10,5,5,East,Under_Construction
42111,42112,Karnataka,Bangalore,South-West,Independent House,2,3386,14.29,0.0,2013,Unfurnished,19,24,12,4,4,East,Ready_to_Move
42283,42284,Karnataka,Bangalore,North-East,Independent House,5,1414,308.82,0.22,2021,Semi-furnished,26,15,4,9,10,East,Ready_to_Move
42301,42302,Karnataka,Bangalore,North-East,Independent House,2,1496,249.07,0.17,2000,Semi-furnished,1,15,25,1,9,East,Ready_to_Move
42374,42375,Karnataka,Bangalore,South-West,Independent House,4,3671,191.92,0.05,2014,Furnished,27,20,11,7,1,South,Under_Construction
42438,42439,Karnataka,Bangalore,West,Villa,4,4318,477.62,0.11,2020,Unfurnished,21,24,5,6,10,East,Under_Construction
42540,42541,Karnataka,Bangalore,Central,Independent House,2,3415,408.0,0.12,2004,Semi-furnished,1,30,21,5,9,West,Under_Construction
42648,42649,Karnataka,Bangalore,Central,Independent House,1,659,120.21,0.18,2020,Furnished,18,10,5,4,10,East,Ready_to_Move
42709,42710,Karnataka,Bangalore,South,Villa,2,2897,279.93,0.1,1990,Furnished,16,2,35,8,3,North,Under_Construction
42731,42732,Karnataka,Bangalore,South,Apartment,3,3737,225.43,0.06,1990,Unfurnished,9,13,35,1,10,South,Under_Construction
42845,42846,Karnataka,Bangalore,North,Independent House,5,2170,193.4,0.09,2020,Furnished,21,11,5,1,10,North,Ready_to_Move
42914,42915,Karnataka,Bangalore,West,Independent House,5,2124,263.54,0.12,2016,Semi-furnished,26,9,9,7,6,West,Ready_to_Move
42953,42954,Karnataka,Bangalore,North-East,Villa,5,3208,291.13,0.09,2007,Semi-furnished,24,19,18,7,8,North,Under_Construction
43014,43015,Karnataka,Bangalore,East,Villa,1,3626,326.56,0.09,2023,Furnished,5,21,2,10,1,South,Under_Construction
43038,43039,Karnataka,Bangalore,South,Villa,2,1055,258.99,0.25,2012,Unfurnished,3,27,13,5,6,East,Under_Construction
43060,43061,Karnataka,Bangalore,Central,Villa,3,3385,99.5,0.03,2021,Furnished,26,19,4,1,6,South,Ready_to_Move
43109,43110,Karnataka,Bangalore,North,Independent House,2,4481,379.4,0.08,2021,Furnished,0,11,4,10,7,West,Under_Construction
43113,43114,Karnataka,Bangalore,North-East,Independent House,1,4026,109.5,0.03,2009,Furnished,2,8,16,2,8,North,Ready_to_Move
43204,43205,Karnataka,Bangalore,North-East,Apartment,5,2151,442.3,0.21,1993,Unfurnished,15,1,32,7,6,East,Ready_to_Move
43214,43215,Karnataka,Bangalore,South,Apartment,4,2902,356.35,0.12,1991,Unfurnished,18,6,34,1,5,West,Under_Construction
43247,43248,Karnataka,Bangalore,North,Villa,2,4901,195.02,0.04,2017,Semi-furnished,12,19,8,10,9,South,Ready_to_Move
43327,43328,Karnataka,Bangalore,South,Villa,5,2760,70.2,0.03,1995,Unfurnished,22,4,30,6,7,South,Under_Construction
43473,43474,Karnataka,Bangalore,South-West,Villa,5,2952,437.66,0.15,2021,Semi-furnished,5,14,4,7,7,West,Ready_to_Move
43497,43498,Karnataka,Bangalore,North,Independent House,3,2390,297.42,0.12,1997,Semi-furnished,27,9,28,10,4,East,Ready_to_Move
43581,43582,Karnataka,Bangalore,Central,Apartment,1,4787,376.57,0.08,2001,Furnished,20,25,24,4,7,South,Ready_to_Move
43617,43618,Karnataka,Bangalore,West,Villa,1,759,483.26,0.64,1995,Unfurnished,14,9,30,1,4,South,Under_Construction
43688,43689,Karnataka,Bangalore,South-East,Independent House,3,1531,152.37,0.1,2011,Furnished,25,6,14,1,8,South,Ready_to_Move
43710,43711,Karnataka,Bangalore,South,Villa,4,599,422.36,0.71,2018,Semi-furnished,3,4,7,9,6,South,Ready_to_Move
43726,43727,Karnataka,Bangalore,Central,Apartment,3,2142,306.71,0.14,2009,Furnished,12,27,16,9,4,West,Ready_to_Move
43730,43731,Karnataka,Bangalore,South-East,Villa,4,4951,190.64,0.04,2017,Unfurnished,5,25,8,3,4,East,Under_Construction
43731,43732,Karnataka,Bangalore,Central,Independent House,4,4598,41.15,0.01,2006,Unfurnished,14,7,19,3,8,East,Under_Construction
43867,43868,Karnataka,Bangalore,South-West,Apartment,2,764,62.07,0.08,2005,Semi-furnished,4,17,20,6,5,South,Under_Construction
43944,43945,Karnataka,Bangalore,North,Apartment,3,2359,286.62,0.12,2002,Unfurnished,30,5,23,7,1,East,Under_Construction
43988,43989,Karnataka,Bangalore,North,Independent House,1,3332,252.05,0.08,2023,Semi-furnished,3,8,2,6,1,North,Under_Construction
44007,44008,Karnataka,Bangalore,South,Independent House,5,2562,398.84,0.16,1993,Furnished,9,18,32,4,3,North,Under_Construction
44139,44140,Karnataka,Bangalore,South,Apartment,4,2860,404.62,0.14,1999,Furnished,29,9,26,6,5,East,Under_Construction
44180,44181,Karnataka,Bangalore,South-East,Independent House,2,2911,224.65,0.08,2013,Furnished,11,17,12,1,6,West,Under_Construction
44229,44230,Karnataka,Bangalore,South-West,Independent House,4,1654,325.81,0.2,2014,Furnished,11,26,11,3,4,South,Ready_to_Move
44232,44233,Karnataka,Bangalore,South-East,Independent House,3,1112,141.89,0.13,2002,Unfurnished,25,6,23,6,3,West,Ready_to_Move
44331,44332,Karnataka,Bangalore,South,Villa,2,3755,302.01,0.08,2018,Semi-furnished,30,1,7,7,4,West,Ready_to_Move
44378,44379,Karnataka,Bangalore,South-East,Independent House,5,1028,112.63,0.11,2006,Unfurnished,19,2,19,4,6,East,Ready_to_Move
44407,44408,Karnataka,Bangalore,South-West,Apartment,1,4597,235.53,0.05,2000,Semi-furnished,4,18,25,5,8,East,Ready_to_Move
44580,44581,Karnataka,Bangalore,Central,Independent House,5,2274,156.12,0.07,2017,Unfurnished,25,13,8,7,6,East,Ready_to_Move
44602,44603,Karnataka,Bangalore,North,Villa,1,2673,409.67,0.15,2009,Unfurnished,2,4,16,1,1,East,Under_Construction
44624,44625,Karnataka,Bangalore,Central,Apartment,4,2766,261.92,0.09,2012,Semi-furnished,21,17,13,1,7,South,Ready_to_Move
44719,44720,Karnataka,Bangalore,West,Apartment,1,1306,57.24,0.04,2011,Unfurnished,18,19,14,8,9,East,Ready_to_Move
44721,44722,Karnataka,Bangalore,South-West,Apartment,2,3164,444.97,0.14,1997,Semi-furnished,28,1,28,1,2,South,Under_Construction
44725,44726,Karnataka,Bangalore,South,Apartment,5,1305,370.63,0.28,2012,Unfurnished,18,29,13,2,10,South,Under_Construction
44729,44730,Karnataka,Bangalore,North,Apartment,3,3180,229.87,0.07,2020,Unfurnished,21,17,5,2,1,North,Under_Construction
44773,44774,Karnataka,Bangalore,South-West,Villa,1,598,435.74,0.73,1991,Unfurnished,6,5,34,9,5,West,Ready_to_Move
44780,44781,Karnataka,Bangalore,North,Apartment,1,2515,316.44,0.13,2018,Semi-furnished,10,1,7,6,10,East,Ready_to_Move
44796,44797,Karnataka,Bangalore,South-West,Villa,2,2096,114.98,0.05,2000,Unfurnished,18,20,25,3,7,West,Ready_to_Move
44865,44866,Karnataka,Bangalore,North-East,Independent House,2,752,255.11,0.34,1999,Semi-furnished,4,16,26,2,8,West,Under_Construction
44958,44959,Karnataka,Bangalore,East,Apartment,1,3878,82.55,0.02,2006,Furnished,21,21,19,1,9,West,Ready_to_Move
45105,45106,Karnataka,Bangalore,West,Apartment,2,4061,261.36,0.06,2015,Unfurnished,16,3,10,6,1,East,Under_Construction
45135,45136,Karnataka,Bangalore,East,Villa,1,4332,428.06,0.1,2011,Furnished,30,14,14,2,5,North,Ready_to_Move
45327,45328,Karnataka,Bangalore,South,Independent House,4,2479,385.34,0.16,1998,Furnished,18,16,27,6,10,South,Under_Construction
45388,45389,Karnataka,Bangalore,East,Villa,5,643,43.15,0.07,1996,Unfurnished,14,19,29,1,9,South,Ready_to_Move
45415,45416,Karnataka,Bangalore,East,Independent House,5,3643,257.84,0.07,1997,Semi-furnished,26,25,28,2,7,East,Under_Construction
45463,45464,Karnataka,Bangalore,North,Independent House,4,1424,278.84,0.2,2022,Furnished,17,10,3,1,3,West,Under_Construction
45545,45546,Karnataka,Bangalore,South-West,Villa,3,762,174.12,0.23,1993,Semi-furnished,30,4,32,5,3,South,Under_Construction
45620,45621,Karnataka,Bangalore,South-West,Apartment,4,3181,302.48,0.1,2013,Unfurnished,11,26,12,6,4,South,Under_Construction
45641,45642,Karnataka,Bangalore,South-West,Independent House,5,4478,271.22,0.06,1992,Unfurnished,3,16,33,1,5,West,Under_Construction
